"permutation_id","ndvi_between_var","ndvi_within_var","dem_between_var","dem_within_var","mean_nn_dist","mean_ignorance","has_intersection","ndvi_combined","ndvi_weighted","igno_weighted","spatial_weighted","dem_combined","dem_weighted","ndvi_norm","igno_norm","spatial_norm","dem_norm","final_score"
1,0.0113207199864212,0,23.0142701185535,0,1349.82471183638,86.3604159355164,FALSE,0.0113207199864212,0.0113207199864212,86.3604159355164,1349.82471183638,23.0142701185535,23.0142701185535,0.119860315746808,0.522123818952025,0.785903556037973,0.384850898520412,1.81273858925722
2,0.0144782727366124,0,28.935589100995,0,1086.67594867875,89.5129240036011,FALSE,0.0144782727366124,0.0144782727366124,89.5129240036011,1086.67594867875,28.935589100995,28.935589100995,0.273460603237965,0.705567799591504,0.25085525811803,0.603977196075575,1.83386085702307
3,0.0121604390293738,0,26.9281577620066,0,988.542850984773,77.3876519012451,FALSE,0.0121604390293738,0.0121604390293738,77.3876519012451,988.542850984773,26.9281577620066,26.9281577620066,0.160708750155864,0,0.0513257362584778,0.529689524998722,0.741724011413063
4,0.0168870581453558,0,33.0852939403763,0,1188.62265585377,89.6033815765381,FALSE,0.0168870581453558,0.0168870581453558,89.6033815765381,1188.62265585377,33.0852939403763,33.0852939403763,0.390636834502852,0.710831512451289,0.458138817037375,0.757542552053987,2.3171497160455
5,0.0247781704608193,0,37.0136933843886,0,963.299701782953,88.5435375976563,FALSE,0.0247781704608193,0.0247781704608193,88.5435375976563,963.299701782953,37.0136933843886,37.0136933843886,0.77450282698921,0.649159347259659,0,0.902918207045172,2.32658038129404
6,0.0294137035736174,0,23.8694734631345,0,1166.50319259415,87.5555725097656,FALSE,0.0294137035736174,0.0294137035736174,87.5555725097656,1166.50319259415,23.8694734631345,23.8694734631345,1,0.59166980415895,0.413164327984303,0.416498837621567,2.42133296976482
7,0.0158324887596661,0,21.8959235730622,0,1090.40927643394,83.1998232555389,FALSE,0.0158324887596661,0.0158324887596661,83.1998232555389,1090.40927643394,21.8959235730622,21.8959235730622,0.339336928013088,0.338209395936035,0.258446062030702,0.34346499470003,1.27945738067985
8,0.0158146788552002,0,29.0357682711788,0,1180.51264939958,89.0049730682373,FALSE,0.0158146788552002,0.0158146788552002,89.0049730682373,1180.51264939958,29.0357682711788,29.0357682711788,0.338470558814352,0.676010209399741,0.441649113276794,0.607684459730786,2.06381434122167
9,0.0151148843269461,0,27.0802796588075,0,1144.42300549127,90.7670560836792,FALSE,0.0151148843269461,0.0151148843269461,90.7670560836792,1144.42300549127,27.0802796588075,27.0802796588075,0.304428802673282,0.778545560805284,0.368269697337394,0.535318998452509,1.98656305926847
10,0.0201505938806109,0,21.5422559485527,0,1128.35044706723,86.6952393722534,FALSE,0.0201505938806109,0.0201505938806109,86.6952393722534,1128.35044706723,21.5422559485527,21.5422559485527,0.549392702363645,0.54160714547171,0.335590102249018,0.330377053085382,1.75696700316976
11,0.0164535407492171,0,20.1713285344556,0,1024.03048261196,92.5555308532715,FALSE,0.0164535407492171,0.0164535407492171,92.5555308532715,1024.03048261196,20.1713285344556,20.1713285344556,0.369548225080479,0.882616644501704,0.123481108267433,0.279644057724255,1.65529003557387
12,0.0136813519476041,0,29.8535489549799,0,1074.36954839188,86.9294188690185,FALSE,0.0136813519476041,0.0136813519476041,86.9294188690185,1074.36954839188,29.8535489549799,29.8535489549799,0.234694105261982,0.555234015932615,0.225833219450626,0.637947523413868,1.65370886405909
13,0.0194950661369448,0,26.5388887226196,0,1222.41066214604,91.9594923400879,FALSE,0.0194950661369448,0.0194950661369448,91.9594923400879,1222.41066214604,26.5388887226196,26.5388887226196,0.517504319856197,0.847933251117317,0.526838418889425,0.515284105596954,2.40756009545989
14,0.0159439138153832,0,29.891539195005,0,1300.44199032808,86.5251410102844,FALSE,0.0159439138153832,0.0159439138153832,86.5251410102844,1300.44199032808,29.891539195005,29.891539195005,0.344757239864036,0.531709146816055,0.685495935752697,0.639353402858061,2.20131572529085
15,0.0213367139765434,0,25.6592881043099,0,1276.91911814948,90.5145025253296,FALSE,0.0213367139765434,0.0213367139765434,90.5145025253296,1276.91911814948,25.6592881043099,25.6592881043099,0.6070919403964,0.763849506404236,0.637667959780771,0.482733312878478,2.49134271945988
16,0.0237181958067414,0,18.7525020173763,0,1377.90624119992,85.5864520645142,FALSE,0.0237181958067414,0.0237181958067414,85.5864520645142,1377.90624119992,18.7525020173763,18.7525020173763,0.722939979277534,0.477086975175115,0.843000440357933,0.227138492244233,2.27016588705481
17,0.0178355555512459,0,26.200561109103,0,993.191784785515,91.3650743103027,FALSE,0.0178355555512459,0.0178355555512459,91.3650743103027,993.191784785515,26.200561109103,26.200561109103,0.436776831442098,0.813344153423457,0.0607781999044474,0.502763841525654,1.81366302629566
18,0.016783098854602,0,23.664518274457,0,1242.23695690232,89.1150927352905,FALSE,0.016783098854602,0.016783098854602,89.1150927352905,1242.23695690232,23.664518274457,23.664518274457,0.385579697469688,0.682418056623177,0.567150313713162,0.408914197815334,2.04406226562136
19,0.0168497758660314,0,30.2263384015802,0,1412.580324468,87.4148534011841,FALSE,0.0168497758660314,0.0168497758660314,87.4148534011841,1412.580324468,30.2263384015802,30.2263384015802,0.388823224636096,0.58348137993521,0.913501661841564,0.651743093529816,2.53754935994269
20,0.0173033833690328,0,26.0236231381926,0,1235.49608588008,91.1198929977417,FALSE,0.0173033833690328,0.0173033833690328,91.1198929977417,1235.49608588008,26.0236231381926,26.0236231381926,0.410889124521673,0.799077088920135,0.553444410163884,0.496216016188511,2.2596266397942
