"permutation_id","ndvi_between_var","ndvi_within_var","dem_between_var","dem_within_var","mean_nn_dist","mean_ignorance","has_intersection","ndvi_combined","ndvi_weighted","igno_weighted","spatial_weighted","dem_combined","dem_weighted","ndvi_norm","igno_norm","spatial_norm","dem_norm","final_score"
1,0.0116565675400302,0,22.9951616290302,0,1350.50605127919,86.3618321037292,FALSE,0.0116565675400302,0.0116565675400302,86.3618321037292,1350.50605127919,22.9951616290302,22.9951616290302,0.0992186363128791,0.525795911458932,0.788898432730183,0.296061050756745,1.70997403125874
2,0.0144782727366124,0,28.935589100995,0,1087.23958344944,89.5129240036011,FALSE,0.0144782727366124,0.0144782727366124,89.5129240036011,1087.23958344944,28.935589100995,28.935589100995,0.241318232624497,0.711652313604423,0.251833711097358,0.605605188302221,1.8104094456285
3,0.012743619121979,0,26.9500697993759,0,989.026523898058,77.4472549438477,FALSE,0.012743619121979,0.012743619121979,77.4472549438477,989.026523898058,26.9500697993759,26.9500697993759,0.153961984821408,0,0.0514786490816935,0.502143633944364,0.707584267847466
4,0.0170137314070206,0,32.9752506631448,0,1189.21736006302,89.6034195709229,FALSE,0.0170137314070206,0.0170137314070206,89.6034195709229,1189.21736006302,32.9752506631448,32.9752506631448,0.369002603750936,0.716989885813354,0.459868812039745,0.816104106121286,2.36196540772532
5,0.0245063325681491,0,36.5043765210627,0,963.791944960941,88.5505679321289,FALSE,0.0245063325681491,0.0245063325681491,88.5505679321289,963.791944960941,36.5043765210627,36.5043765210627,0.746326075249642,0.654891024911459,0,1,2.4012171001611
6,0.0295435955181139,0,23.9257997217168,0,1167.08999456512,87.5518162536621,FALSE,0.0295435955181139,0.0295435955181139,87.5518162536621,1167.08999456512,23.9257997217168,23.9257997217168,1,0.595983065545323,0.414728891678586,0.344554794199818,2.35526675142373
7,0.0150847566481266,0,21.9395612941825,0,1090.94660421187,83.2999790477753,FALSE,0.0150847566481266,0.0150847566481266,83.2999790477753,1090.94660421187,21.9395612941825,21.9395612941825,0.271860444865537,0.345202957981145,0.259396049325513,0.241055767587274,1.11751521975947
8,0.0162565197054775,0,28.6900724228159,0,1181.09837392305,88.999426651001,FALSE,0.0162565197054775,0.0162565197054775,88.999426651001,1181.09837392305,28.6900724228159,28.6900724228159,0.330869818922089,0.681365424647179,0.443306045550147,0.592811791066304,2.04835308018572
9,0.0152699536186372,0,27.1085331434041,0,1144.98720358664,90.7696224594116,FALSE,0.0152699536186372,0.0152699536186372,90.7696224594116,1144.98720358664,27.1085331434041,27.1085331434041,0.28118686733503,0.785774383350547,0.369639103442266,0.510400851020289,1.94700120514813
10,0.0205171863523892,0,21.7388984183763,0,1128.88691307606,86.74067943573,FALSE,0.0205171863523892,0.0205171863523892,86.74067943573,1128.88691307606,21.7388984183763,21.7388984183763,0.545434760460943,0.548140928464288,0.336794441862111,0.230599614874026,1.66096974566137
11,0.0162442131830955,0,20.1599595062014,0,1024.51194146796,92.548543548584,FALSE,0.0162442131830955,0.0162442131830955,92.548543548584,1024.51194146796,20.1599595062014,20.1599595062014,0.33025006889838,0.890697972963328,0.123869052866529,0.148324174914064,1.4931412696423
12,0.013460219447235,0,30.8545331247039,0,1074.90116560608,86.8981927490234,FALSE,0.013460219447235,0.013460219447235,86.8981927490234,1074.90116560608,30.8545331247039,30.8545331247039,0.190049602003739,0.55743131371136,0.226663285865977,0.70559763423651,1.67974183581759
13,0.0194950661369448,0,26.5388887226196,0,1222.99120161353,91.9594923400879,FALSE,0.0194950661369448,0.0194950661369448,91.9594923400879,1222.99120161353,26.5388887226196,26.5388887226196,0.49396132157281,0.855954797654798,0.52876759341635,0.480717786666503,2.35940149931046
14,0.0159103969248461,0,29.8611283824998,0,1301.09910767785,86.5292805671692,FALSE,0.0159103969248461,0.0159103969248461,86.5292805671692,1301.09910767785,29.8611283824998,29.8611283824998,0.313439256912438,0.535672287632222,0.688108056231724,0.653833242597963,2.19105284337435
15,0.0184246724382298,0,25.0374092831388,0,1270.51109284966,90.4875214767456,FALSE,0.0184246724382298,0.0184246724382298,90.4875214767456,1270.51109284966,25.0374092831388,25.0374092831388,0.440056855342199,0.769135619599433,0.625708375009764,0.402478609380052,2.23737945933145
16,0.0226627600526331,0,19.7423538703368,0,1378.56069581707,85.625810585022,FALSE,0.0226627600526331,0.0226627600526331,85.625810585022,1378.56069581707,19.7423538703368,19.7423538703368,0.653484728625856,0.482384193960575,0.846130027712453,0.126563556339407,2.10856250663829
17,0.017376454261589,0,27.2265036074604,0,1051.66377749278,91.4518426513672,FALSE,0.017376454261589,0.017376454261589,91.4518426513672,1051.66377749278,27.2265036074604,27.2265036074604,0.387269136792586,0.82601281319546,0.179258914616498,0.516548062769689,1.90908892737423
18,0.0178628114019019,0,24.238045137953,0,1257.9585983582,90.3129209518433,FALSE,0.0178628114019019,0.0178628114019019,90.3129209518433,1257.9585983582,24.238045137953,24.238045137953,0.411761827731899,0.758837403488255,0.600101232499639,0.360825296369485,2.13152576008928
19,0.0161764767382843,0,31.9231957321176,0,1412.79157327285,87.0427225112915,FALSE,0.0161764767382843,0.0161764767382843,87.0427225112915,1412.79157327285,31.9231957321176,31.9231957321176,0.32683889700313,0.565955908509493,0.91596116429276,0.761283567058705,2.57003953686409
20,0.0174634062788624,0,26.3011813657961,0,1236.10765658163,91.0630515670776,FALSE,0.0174634062788624,0.0174634062788624,91.0630515670776,1236.10765658163,26.3011813657961,26.3011813657961,0.391647994856145,0.803081297895878,0.5555252177136,0.468331317998478,2.2185858284641
