"x"
"Reichardia picroides (L.) Roth"
"Erigeron karvinskianus DC."
"Dittrichia viscosa (L.) Greuter"
"Carex divulsa Stokes"
"Raphanus raphanistrum L. subsp."
"Lychnis flos-cuculi L. subsp. fl"
"Medicago lupulina L."
"Helosciadium nodiflorum (L.) W.D"
"Trifolium campestre Schreb."
"Geranium dissectum L."
"Arundo donax L."
"Geranium rotundifolium L."
"Oxalis articulata Savigny"
"Smyrnium olusatrum L."
"Trifolium repens L."
"Carduus pycnocephalus L. subsp."
"Phalaris arundinacea L."
"Lepidium draba L. subsp. draba"
"Abies alba Mill."
"Fagus sylvatica L. subsp. sylvat"
"Castanea sativa Mill."
"Quercus cerris L."
"Quercus pubescens Willd. subsp."
"Orchis latifolia"
"Ceratochloa cathartica (Vahl) He"
"Cornus mas L."
"Cyperus michelianus (L.) Delile"
"Hedera helix L. subsp. helix"
"Ranunculus repens L. var. reptab"
"Orchis laxiflora Lam."
"Orchis mascula (L.) L."
"Orchis morio L."
"Orchis fragrans Pollini"
"Orchis militaris L."
"Orchis tridentata Scop."
"Orchis ustulata L."
"Ophrys sphegodes Mill."
"Ophrys apifera Huds."
"Ophrys insectifera L."
"Platanthera chlorantha (Custer)"
"Platanthera bifolia (L.) Rich."
"Traunsteinera globosa (L.) Rchb."
"Neottia nidus-avis (L.) Rich."
"Limodorum abortivum (L.) Sw."
"Himantoglossum adriaticum H.Baum"
"Gymnadenia conopsea (L.) R.Br."
"Epipactis microphylla (Ehrh.) Sw"
"Dactylorhiza maculata (L.) Soó"
"Dactylorhiza sambucina (L.) Soó"
"Corallorhiza trifida Châtel."
"Coeloglossum viride (L.) Hartm."
"Cephalanthera damasonium (Mill.)"
"Cephalanthera rubra (L.) Rich."
"Anacamptis pyramidalis (L.) Rich"
"Aceras anthropophorum (L.) R.Br."
"Acer negundo L."
"Humulus lupulus L."
"Silene latifolia Poir."
"Solanum nigrum L."
"Lactuca serriola L."
"Populus tremula L."
"Mentha aquatica L. subsp. aquati"
"Hypericum tetrapterum Fr."
"Hypericum androsaemum L."
"Carex pendula Huds."
"Eupatorium cannabinum L. subsp."
"Clinopodium menthifolium (Host)"
"Pastinaca sativa L. subsp. urens"
"Senecio nemorensis L. subsp. apu"
"Carlina vulgaris L."
"Fallopia convolvulus (L.) Á.Löve"
"Campanula trachelium L. subsp. t"
"Plantago major L."
"Trifolium pratense L."
"Fraxinus ornus L. subsp. ornus"
"Daucus carota L."
"Pentanema squarrosum (L.) D.Gut."
"Genista germanica L."
"Cruciata glabra (L.) C.Bauhin ex"
