"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Rumex crispus L.",96,500,84.7,2.2
"Veronica beccabunga L. subsp. beccabunga",37.3,200,35.9,2.2
"Stachys heraclea All.",7.2,100,7.2,7.2
"Lamium maculatum L.",7.6,200,7.2,0.4
"Galium palustre L. subsp. elongatum (C.Presl) Lange",91,300,84.7,8.6
"Legousia speculum-veneris (L.) Chaix",78.5,300,65.8,2.2
"Senecio vulgaris L. subsp. vulgaris",94.6,400,84.7,2.2
"Centaurea nigrescens Willd. subsp. nigrescens",76,400,50.2,2.2
"Xanthium strumarium L. subsp. strumarium",136.3,500,205.2,2.2
"Leontodon hispidus L. subsp. hispidus",35.9,100,35.9,35.9
"Taraxacum F.H.Wigg. sect. Taraxacum",35.9,100,35.9,35.9
"Sonchus arvensis L. subsp. uliginosus (M.Bieb.) Nyman",35.9,100,35.9,35.9
"Lolium perenne L.",98.8,600,85.7,2.2
"Cyperus longus L.",46.4,300,35.9,8.6
"Schoenoplectus pungens (Vahl) Palla",97.2,400,75.2,35.9
"Carex olbiensis Jord.",71.8,100,71.8,71.8
"Euphorbia palustris L.",91.3,200,71.8,69.2
"Sporobolus indicus (L.) R.Br.",85.7,200,84.4,8.3
"Aira caryophyllea L. subsp. caryophyllea",48.2,1000,17.1,0.9
"Trisetaria panicea (Lam.) Paunero",4899.9,500,3714.2,22.5
"Gaudinia fragilis (L.) P.Beauv.",98.4,600,85.7,2.2
"Festuca ligustica (All.) Bertol.",242.5,300,437.9,22.5
"Brachypodium retusum (Pers.) P.Beauv.",5.8,100,5.8,5.8
"Festuca myuros L. subsp. myuros",84.4,500,847.8,22.5
"Festuca bromoides L.",104.2,500,857.3,45.6
"Hordeum bulbosum L.",153.8,300,857.3,50.2
"Festuca danthonii Asch. & Graebn. subsp. danthonii",6.7,200,4.6,2.2
"Catapodium rigidum (L.) C.E.Hubb. subsp. rigidum",37.6,500,23.2,2.2
"Anisantha madritensis (L.) Nevski  subsp. madritensis",86.3,300,84.8,2.2
"Hordeum marinum Huds.",96.3,400,85.7,8.6
"Bolboschoenus glaucus (Lam.) S.G.Sm.",102.2,400,857.3,85.7
"Athyrium filix-femina (L.) Roth",16.4,200,8.6,8.6
"Polypodium cambricum L.",99.7,500,85.7,8.3
"Lagurus ovatus L. subsp. ovatus",99.1,900,84.8,4.5
"Polypogon monspeliensis (L.) Desf.",79.5,500,56.9,2.2
"Agrostis gigantea Roth subsp. gigantea",20.1,500,3728.7,85.7
"Nassella trichotoma (Nees) Hack.",5552,400,857.3,85.7
"Deschampsia cespitosa (L.) P.Beauv. subsp. cespitosa",15.3,200,13.8,1.7
"Lolium giganteum (L.) Darbysh.",8.6,100,8.6,8.6
"Elymus repens (L.) Gould subsp. repens",31.4,300,23.2,2.2
"Anisantha sterilis (L.) Nevski",87.2,300,85.7,2.2
"Bromus commutatus Schrad. subsp. commutatus",10.9,200,8.6,2.5
"Vincetoxicum hirundinaria Medik. subsp. hirundinaria",99.9,600,85.7,8.6
"Blackstonia perfoliata (L.) Huds. subsp. perfoliata",95.9,500,85.7,2.2
"Centaurium erythraea Rafn subsp. erythraea",99.8,900,85.7,2.2
"Centaurium pulchellum (Sw.) Druce subsp. pulchellum",24,500,13.8,1.7
"Cuscuta epithymum (L.) L. subsp. epithymum",86,200,84.7,8.6
"Scrophularia canina L.",48.6,200,43.8,8.6
"Teucrium scordium L. subsp. scordioides (Schreb.) Arcang.",324.9,500,846.7,22.5
"Scutellaria columnae All. subsp. columnae",15.3,200,13.8,1.7
"Teucrium capitatum L. subsp. capitatum",100,1000,85.7,8.6
"Lamium bifidum Cirillo subsp. bifidum",71.8,200,69.2,8.6
"Ballota nigra L. subsp. nigra",206.6,200,846.7,85.7
"Plantago bellardii All. subsp. bellardii",91.9,300,71.3,8.6
"Alkekengi officinarum Moench",7.4,500,628.1,85.7
"Verbena officinalis L.",86.3,300,84.7,2.2
"Galium aparine L.",86.3,300,84.7,2.2
"Galium murale (L.) All.",72.5,400,45.2,2.2
"Leucanthemum pallens (Perreym.) DC.",85.7,100,85.7,85.7
"Anthemis cotula L.",89.8,200,88.9,8.6
"Filago germanica (L.) Huds.",98,300,85.7,8.6
"Campanula rapunculus L.",99.1,500,84.7,2.2
"Arctium minus (Hill) Bernh.",86,200,84.7,8.6
"Lapsana communis L. subsp. communis",15.3,200,13.8,1.7
"Reichardia picroides (L.) Roth",8.6,100,8.6,8.6
"Crepis setosa Haller f.",86.3,300,84.7,2.2
"Asplenium trichomanes L. subsp. trichomanes",89,200,85.7,23
"Polystichum setiferum (Forssk.) Woyn.",32.1,300,17.1,1.7
"Agrostis canina L. subsp. canina",184.5,200,692,85.7
"Alopecurus myosuroides Huds. subsp. myosuroides",38.7,400,25.8,2.2
"Aira cupaniana Guss.",85.7,100,85.7,85.7
"Cynosurus echinatus L.",10.6,200,8.6,2.2
"Briza minor L.",10.3,200,8.3,2.2
"Briza maxima L.",2.6,300,1.7,0.4
"Poa angustifolia L.",87,200,85.7,8.6
"Festuca fasciculata Forssk.",84.9,400,69.2,8.2
"Brachypodium distachyon (L.) P.Beauv.",10.6,200,8.6,2.2
"Equisetum hyemale L.",60.9,100,60.9,60.9
"Pancratium maritimum L.",96.4,600,57.7,25.9
"Juncus littoralis C.A.Mey.",99.9,600,85.7,45.2
"Ophrys classica Devillers-Tersch. & Devillers",99.7,500,85.7,2.2
"Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase",43.8,100,43.8,43.8
"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",99.1,500,84.8,25.8
"Parietaria judaica L.",8.8,100,8.8,8.8
"Polycarpon tetraphyllum (L.) L. subsp. tetraphyllum",99,400,84.8,2.2
"Sabulina mediterranea (Ledeb. ex Link) Rchb.",43.8,100,43.8,43.8
"Sagina apetala Ard. subsp. apetala",99.9,500,85.7,43.8
"Arenaria serpyllifolia L. subsp. serpyllifolia",99.6,600,85.7,25.8
"Cerastium semidecandrum L.",54.8,600,17,8.8
"Cerastium ligusticum Viv.",100,700,85.7,2.2
"Sinapis arvensis L. subsp. arvensis",91.2,300,71.3,43.8
"Urtica membranacea Poir. ex Savigny",97.7,700,84.7,2.2
"Humulus lupulus L.",99.2,500,85.7,2.2
"Ranunculus parviflorus L.",7474.1,300,577.1,437.9
"Ribes rubrum L.",70.9,200,47.3,44.7
"Pittosporum tobira (Thunb.) W.T.Aiton",69.2,200,45.2,43.8
"Ranunculus bulbosus L.",95.3,300,84.7,43.8
"Sedum sexangulare L.",93.6,300,84.8,2.2
"Pyracantha coccinea M.Roem.",83.3,400,57.7,2.2
"Colchicum neapolitanum (Ten.) Ten. subsp. neapolitanum",99.9,500,85.7,44.5
"Rumex acetosella L. subsp. acetosella",99.9,500,85.7,2.2
"Saxifraga tridactylites L.",98.1,500,85.7,2.2
"Medicago minima (L.) L.",98,400,85.7,2.2
"Trifolium squamosum L.",99.6,600,85.7,2.2
"Trifolium cherleri L.",99.4,400,84.4,57.2
"Trifolium nigrescens Viv. subsp. nigrescens",99.9,800,85.7,2.2
"Trifolium campestre Schreb.",99.9,800,85.7,2.2
"Sulla coronaria (L.) Medik.",88.5,200,75.7,52.6
"Vicia pseudocracca Bertol.",100,1300,85.7,23.2
"Medicago littoralis Rohde ex Loisel.",713.4,500,452.3,37
"Ervilia hirsuta (L.) Opiz",99.1,500,84.4,25.8
"Linum radiola L.",31778.3,300,857.3,660.2
"Euphorbia peplus L.",98.2,500,85.7,2.2
"Nymphoides peltata (S.G.Gmel.) Kuntze",98.8,300,88.9,23.2
"Cerinthe major L. subsp. major",99.2,600,85.7,2.2
"Anchusa azurea Mill.",45.1,200,43.8,2.2
"Cuscuta cesattiana Bertol.",69.2,200,45.2,43.8
"Verbascum thapsus L. subsp. thapsus",99.9,500,85.7,43.8
"Veronica arvensis L.",100,900,85.7,2.2
"Salvia rosmarinus Spenn.",43.8,100,43.8,43.8
"Myosotis arvensis (L.) Hill subsp. arvensis",100,500,98.9,43.8
"Ecballium elaterium (L.) A.Rich.",55.5,300,43.8,2.2
"Senecio lividus L.",69.2,200,45.2,43.8
"Cladanthus mixtus (L.) Chevall.",90.8,400,69.2,23.2
"Helichrysum stoechas (L.) Moench subsp. stoechas",87.8,400,57.7,23.2
"Hedypnois rhagadioloides (L.) F.W.Schmidt",76.9,400,45.2,2.2
"Sonchus asper (L.) Hill subsp. asper",100,900,85.7,43.8
"Taraxacum obovatum (Willd.) DC.",83.9,200,71.3,43.8
"Crepis leontodontoides All.",39.1,400,17,0.2
"Crepis sancta (L.) Bornm. subsp. nemausensis (P.Fourn.) Babc.",99.8,500,85.7,43.8
"Herniaria glabra L. subsp. glabra",98.6,400,84.4,48.7
"Carex divisa Huds.",100,700,85.7,45.2
"Carex flacca Schreb. subsp. serrulata (Biv.) Greuter",99.4,400,85.7,47.3
"Acorus calamus L.",85.7,100,85.7,85.7
"Juncus bufonius L.",99.5,300,85.7,75
"Loncomelos pyrenaicus (L.) Hrouda subsp. pyrenaicus",98.8,300,84.7,69.2
"Muscari comosum (L.) Mill.",99.9,600,85.7,2.2
"Asparagus tenuifolius Lam.",99.8,600,84.7,19.1
"Allium vineale L.",89.3,300,85.7,2.2
"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase",99.9,600,85.7,2.2
"Epipactis microphylla (Ehrh.) Sw.",59.4,200,45.2,25.8
"Platanus orientalis L.",98.7,300,85.7,62.6
"Silene gallica L.",98,200,85.7,85.7
"Cistus monspeliensis L.",76.8,200,57.7,45.2
"Cardamine amporitana Sennen & Pau",98.8,300,84.7,69.2
"Glaucium flavum Crantz",45.2,100,45.2,45.2
"Sedum cepaea L.",75.5,200,75,2.2
"Crassula tillaea Lest.-Garl.",963391.8,500,770.2,657.6
"Rubus caesius L.",75.5,200,75,2.2
"Rubus praecox Bertol.",96.4,200,85.7,75
"Ononis reclinata L.",100.7,700,106.9,5.8
"Agrimonia eupatoria L. subsp. eupatoria",96.2,300,84.7,2.2
"Fumaria muralis W.D.J.Koch subsp. muralis",45.2,100,45.2,45.2
"Neotinea maculata (Desf.) Stearn",95.8,400,71.3,36.2
"Trifolium angustifolium L. subsp. angustifolium",81.2,300,75,2.2
"Trifolium resupinatum L.",99.7,500,85.7,25.8
"Lotus tenuis Waldst. & Kit. ex Willd.",99.7,300,85.7,84.7
"Lathyrus sphaericus Retz.",97.6,300,85.7,45.2
"Torilis arvensis (Huds.) Link subsp. arvensis",75.5,200,75,2.2
"Oxalis stricta L.",75.5,200,75,2.2
"Lysimachia linum-stellatum L.",7787.5,300,577.1,452.3
"Cynoglossum creticum Mill.",79.9,400,57.7,2.2
"Myosotis discolor Pers. subsp. discolor",100.3,600,334.1,45.2
"Antirrhinum majus L. subsp. majus",46.5,200,45.2,2.2
"Carlina corymbosa L.",98.9,500,85.7,2.2
"Scolymus hispanicus L. subsp. hispanicus",58.9,300,45.2,2.2
"Sonchus asper (L.) Hill s.l.",45.2,100,45.2,45.2
"Urospermum picroides (L.) Scop. ex F.W.Schmidt",45.2,100,45.2,45.2
"Sonchus bulbosus (L.) N.Kilian & Greuter subsp. bulbosus",154.1,400,452.3,32.2
"Carex hirta L.",31.4,200,17.1,17.1
"Juncus tenageia L.f. subsp. tenageia",99,300,85.7,55.7
"Bellevalia romana (L.) Sweet",93.8,300,85.7,2.2
"Asparagus officinalis L. subsp. officinalis",85.7,100,85.7,85.7
"Muscari neglectum Guss. ex Ten.",55.7,100,55.7,55.7
"Romulea columnae Sebast. & Mauri",91.2,200,71.3,69.2
"Iris germanica L.",55.7,100,55.7,55.7
"Colchicum lusitanum Brot.",99.9,600,85.7,44.8
"Dioscorea communis (L.) Caddick & Wilkin",84.7,100,84.7,84.7
"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",98.3,400,85.7,2.2
"Salix caprea L.",99.9,600,90.5,2.2
"Ulmus glabra Huds.",21.4,200,11.5,11.1
"Osyris alba L.",95.3,200,84.7,69.2
"Cytinus hypocistis (L.) L.",93.2,200,84.7,55.7
"Persicaria maculosa (L.) Gray",96.8,400,84.7,2.2
"Avena barbata Pott ex Link",86.1,200,85.7,2.2
"Molinia caerulea (L.) Moench",95.8,300,85.7,2.2
"Montia arvensis Wallr.",95.3,200,84.7,69.2
"Hypericum tetrapterum Fr.",84.7,100,84.7,84.7
"Bromus racemosus L. subsp. racemosus",86.1,200,85.7,2.2
"Hypericum humifusum L.",99.4,400,84.7,57.7
"Hypericum perforatum L. subsp. veronense (Schrank) Ces.",84.7,100,84.7,84.7
"Helianthemum nummularium (L.) Mill. subsp. obscurum (Celak.) Holub",71.3,100,71.3,71.3
"Turritis glabra L.",84.7,100,84.7,84.7
"Viola arvensis Murray subsp. arvensis",17.1,100,17.1,17.1
"Cerastium brachypetalum Desp. ex Pers. subsp. brachypetalum",85.7,100,85.7,85.7
"Draba verna L. subsp. praecox (Steven) Rouy & Foucaud",71.3,100,71.3,71.3
"Geum urbanum L.",100,600,85.7,65.8
"Rubus sulcatus Vest",95.4,200,84.7,69.7
"Aphanes australis Rydb.",99.6,400,85.7,55.7
"Rosa agrestis Savi",56.7,200,55.7,2.2
"Lupinus angustifolius L.",99.3,500,85.7,7.7
"Umbilicus rupestris (Salisb.) Dandy",679,200,846.7,22.5
"Poterium sanguisorba L. subsp. sanguisorba",85.7,100,85.7,85.7
"Trifolium pallidum Waldst. & Kit.",89.7,300,85.7,2.2
"Lathyrus aphaca L. subsp. aphaca",85,200,84.7,2.2
"Vicia cordata Wulfen ex Hoppe",97.8,200,85.7,84.7
"Vicia lathyroides L.",81.9,200,59.1,55.7
"Peplis portula L.",103,400,172.7,34.1
"Lythrum hyssopifolia L.",99.3,300,85.7,66
"Pastinaca sativa L. subsp. sativa",85,200,84.7,2.2
"Oenanthe aquatica (L.) Poir.",89.4,200,84.7,30.6
"Aesculus hippocastanum L.",85.7,100,85.7,85.7
"Geranium rotundifolium L.",86.1,200,85.7,2.2
"Ailanthus altissima (Mill.) Swingle",85.7,100,85.7,85.7
"Epilobium tetragonum L. subsp. tetragonum",95.3,200,84.7,69.2
"Erodium botrys (Cav.) Bertol.",98.6,300,85.7,69.2
"Ludwigia palustris (L.) Elliott",92,400,84.7,2.2
"Olea europaea L. subsp. europaea",94,200,85.7,57.7
"Myosotis gussonei Jan",135.9,200,334.1,84.7
"Arbutus unedo L.",96.6,300,84.8,47.4
"Verbascum blattaria L.",93.2,400,84.7,2.2
"Kickxia commutata (Bernh. ex Rchb.) Fritsch subsp. commutata",108.5,400,179.4,2.2
"Euphorbia esula L. subsp. esula",98.4,200,88.9,85.7
"Veronica scutellata L.",98.9,400,84.7,30.6
"Parentucellia latifolia (L.) Caruel",96.7,300,85.7,25.8
"Orobanche hederae Duby",85.4,300,84.7,2.5
"Teucrium scorodonia L.",84.7,100,84.7,84.7
"Galium lucidum All. subsp. lucidum",32.3,300,17.1,5.2
"Salvia verbenaca L.",86.1,200,85.7,2.2
"Asperula cynanchica L. subsp. cynanchica",90.1,300,85.7,9.7
"Valerianella locusta (L.) Laterr.",71.3,100,71.3,71.3
"Filago pyramidata L.",94,200,85.7,57.7
"Helichrysum italicum (Roth) G.Don subsp. italicum",99.3,300,84.8,69.2
"Pentanema squarrosum (L.) D.Gut.Larr., SantosVicente, Anderb., E.Rico & M.M.Mart.Ort.",99.1,400,85.7,2.2
"Cota tinctoria (L.) J.Gay subsp. tinctoria",85,200,84.7,2.2
"Valerianella eriocarpa Desv.",86.1,200,85.7,2.2
"Leontodon saxatilis Lam. subsp. saxatilis",88.5,300,84.7,2.2
"Tragopogon eriospermus Ten.",92.6,200,85.7,47.8
"Crepis vesicaria L.",98.3,400,85.7,2.2
"Hieracium bifidum Kit. ex Hornem.",57.7,100,57.7,57.7
"Fimbristylis squarrosa Vahl",84.7,100,84.7,84.7
"Carex caryophyllea Latourr.",92.2,200,84.7,49.4
"Carex liparocarpos Gaudin subsp. liparocarpos",49.4,100,49.4,49.4
"Parapholis incurva (L.) C.E.Hubb. subsp. incurva",128.7,400,328.9,25.8
"Parapholis filiformis (Roth) C.E.Hubb.",70.3,300,65.8,4.6
"Cyperus flavescens L.",71.9,100,71.9,71.9
"Agrostis stolonifera L. subsp. maritima (Lam.) Vasc.",96.6,300,85.5,23.2
"Setaria verticillata (L.) P.Beauv.",85.9,200,85.5,2.2
"Trifolium arvense L. subsp. arvense",77.1,300,57.5,2.2
"Potamogeton nodosus Poir.",79.2,500,76.9,2.5
"Adiantum capillus-veneris L.",4.5,100,4.5,4.5
"Selaginella denticulata (L.) Spring",81.1,100,81.1,81.1
"Asplenium scolopendrium L. subsp. scolopendrium",1.5,100,1.5,1.5
"Equisetum ramosissimum Desf. subsp. ramosissimum",3330.1,400,807.8,23
"Sempervivum tectorum L.",2.7,100,2.7,2.7
"Artemisia verlotiorum Lamotte",97.2,900,61.1,2.6
"Cycloloma atriplicifolium (Spreng.) J.M.Coult.",56.2,100,56.2,56.2
"Polygala flavescens DC. subsp. flavescens",60.4,200,37,37
"Tetragonia tetragonoides (Pallas) Kuntze",53,200,36.4,26.1
"Symphytum tanaicense Steven",100,2000,78.8,54.3
"Phalaris paradoxa L.",96.4,1000,72.3,2.1
"Adonis annua L.",100,1700,62.5,1.2
"Sporobolus schoenoides (L.) P.M.Peterson",99.5,1100,69.2,2.1
"Phalaris aquatica L.",2.5,100,2.5,2.5
"Phalaris brachystachys Link",98.1,1000,70.3,2.2
"Utricularia australis R.Br.",96.5,500,74.6,23
"Euphorbia nutans Lag.",78.2,100,78.2,78.2
"Gleditsia triacanthos L.",83.5,200,78.2,24.3
"Abutilon theophrasti Medik.",53.2,100,53.2,53.2
"Trigonella sulcata (Desf.) Coulot & Rabaute",131.6,300,195.1,1.2
"Vicia narbonensis L. subsp. narbonensis",77,100,77,77
"Trifolium suffocatum L.",77,100,77,77
"Verbascum phoeniceum L.",77,100,77,77
"Oenanthe peucedanifolia Pollich",84.1,200,66,53.2
"Lactuca saligna L.",12.8,200,10.8,2.2
"Lythrum tribracteatum Spreng.",89.2,200,88.9,2.5
"Valerianella puberula (Bertol. ex Guss.) DC.",25.8,100,25.8,25.8
"Valeriana officinalis L. subsp. officinalis",77,100,77,77
"Potentilla inclinata Vill.",75.7,200,69.2,21.2
"Visnaga daucoides Gaertn.",54.3,200,53.2,2.2
"Asperula laevigata L.",19.8,100,19.8,19.8
"Myriophyllum verticillatum L.",94.3,300,88.9,25.8
"Trisetaria aurea (Ten.) Pignatti",75.7,100,75.7,75.7
"Mentha longifolia (L.) L.",1,100,1,1
"Alyssum simplex Rudolphi",2.5,100,2.5,2.5
"Stachys arvensis (L.) L.",25.8,100,25.8,25.8
"Sedum rubens L.",74.1,200,73.5,2.5
"Trigonella altissima (Thuill.) Coulot & Rabaute",10.1,200,9.7,0.4
"Glebionis segetum (L.) Fourr.",12.8,200,10.8,2.2
"Rumex bucephalophorus L. subsp. gallicus (Steinh.) Rech.f.",212.3,100,212.3,212.3
"Amaranthus cruentus L.",25,100,25,25
"Euphorbia maculata L.",43,300,40.1,2.5
"Euphorbia prostrata Aiton",2.5,100,2.5,2.5
"Euphorbia humifusa Willd. ex Schltr.",2.5,100,2.5,2.5
"Potamogeton coloratus Hornem.",91.1,200,77,61.4
"Celtis australis L. subsp. australis",18.8,200,16.7,2.5
"Ranunculus peltatus Schrank",94,200,77,73.9
"Ranunculus saniculifolius Viv.",73.9,100,73.9,73.9
"Thinopyrum obtusiflorum (DC.) Banfi subsp. obtusiflorum",21.2,100,21.2,21.2
"Isoetes durieui Bory",69.9,200,67.5,7.5
"Sabulina tenuifolia (L.) Rchb. subsp. tenuifolia",27.5,200,25.8,2.2
"Serapias lingua L.",25.8,100,25.8,25.8
"Spergula arvensis L.",92.2,300,69.2,25.8
"Neslia paniculata (L.) Desv. subsp. paniculata",65.7,300,47.7,11.7
"Valerianella coronata (L.) DC.",2.5,100,2.5,2.5
"Erodium alnifolium Guss.",1.1,200,1.1,0
"Medicago monspeliaca (L.) Trautv.",2.5,100,2.5,2.5
"Echinochloa oryzoides (Ard.) Fritsch",2.5,100,2.5,2.5
"Symphytum tuberosum L. subsp. angustifolium (A.Kern.) Nyman",0.5,100,0.5,0.5
"Trifolium hybridum L. subsp. elegans (Savi) Asch. & Graebn.",2.5,100,2.5,2.5
"Poa pratensis L. subsp. pratensis",38.7,300,21.2,2.2
"Malva multiflora (Cav.) Soldano, Banfi & Galasso",32.4,200,30.6,2.5
"Galinsoga parviflora Cav.",1.4,100,1.4,1.4
"Genista monspessulana (L.) L.Johnson",31,200,25.8,6.9
"Trifolium diffusum Ehrh.",2.5,100,2.5,2.5
"Medicago truncatula Gaertn.",25.8,100,25.8,25.8
"Mentha suaveolens Ehrh. subsp. suaveolens",27.5,200,25.8,2.2
"Trifolium michelianum Savi",99.5,600,77,6.9
"Valerianella rimosa Bastard",95.2,200,88.9,56.8
"Helosciadium inundatum (L.) W.D.J.Koch",73.5,100,73.5,73.5
"Digitaria ischaemum (Schreb. ex Schweigg.) Schreb. ex Muhl. subsp. ischaemum",47.9,100,47.9,47.9
"Stachys maritima Gouan",38.7,100,38.7,38.7
"Clinopodium nepeta (L.) Kuntze subsp. spruneri (Boiss.) Bartolucci & F.Conti",93.1,300,77,11.7
"Scutellaria hastifolia L.",91.8,200,73.5,69.2
"Humulus japonicus Siebold & Zucc.",40.6,100,40.6,40.6
"Theligonum cynocrambe L.",113.2,200,117,22.5
"Exaculum pusillum (Lam.) Caruel",73.5,100,73.5,73.5
"Oenanthe globulosa L.",99.1,500,77,19.1
"Serapias parviflora Parl.",50.5,100,50.5,50.5
"Persicaria mitis (Schrank) Assenov",47.9,100,47.9,47.9
"Elatine alsinastrum L.",73.5,100,73.5,73.5
"Potentilla argentea L.",97.1,300,73.5,64.5
"Medicago turbinata (L.) All.",86.8,400,73.5,2.2
"Trigonella wojciechowskii Coulot & Rabaute",96.4,400,69.2,23.2
"Callitriche truncata Guss. s.l.",73.5,100,73.5,73.5
"Hibiscus pentacarpos L.",11.9,100,11.9,11.9
"Micromeria juliana (L.) Benth. ex Rchb.",20.2,200,11.7,9.7
"Vicia pannonica Crantz subsp. striata (M.Bieb.) Nyman",2.8,100,2.8,2.8
"Sparganium erectum L.",79.1,400,57.8,2.2
"Bidens tripartita L. subsp. tripartita",51.4,200,50.2,2.2
"Apium graveolens L.",93.1,500,77,1.2
"Imperata cylindrica (L.) Raeusch.",74.5,300,44.6,23.2
"Pulicaria sicula (L.) Moris",96.2,400,69.2,47.8
"Salicornia fruticosa L.",57.7,200,50.2,14.9
"Amaranthus graecizans L. subsp. sylvestris (Vill.) Brenan",770.2,100,770.2,770.2
"Rumex patientia L. subsp. patientia",34.1,100,34.1,34.1
"Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch",114.6,300,379.6,53.1
"Stellaria aquatica (L.) Scop.",76.8,300,57.8,2.2
"Salix cinerea L.",99.1,600,70.9,2.2
"Triglochin palustris L.",57.8,100,57.8,57.8
"Spergula pentandra L.",43.9,100,43.9,43.9
"Pinus halepensis Mill. subsp. halepensis",44.6,100,44.6,44.6
"Spiranthes spiralis (L.) Chevall.",74.2,300,53,2.2
"Anogramma leptophylla (L.) Link",20.3,100,20.3,20.3
"Acanthus mollis L. subsp. mollis",34.1,100,34.1,34.1
"Micromeria graeca (L.) Benth. ex Rchb. subsp. graeca",51.4,200,50.2,2.2
"Crepis bellidifolia Loisel.",53,100,53,53
"Stachys germanica L. subsp. salviifolia (Ten.) Gams",94.8,300,74,31.8
"Tulipa agenensis DC.",12.5,100,12.5,12.5
"Tulipa sylvestris L.",35,100,35,35
"Romulea rollii Parl.",74.7,100,74.7,74.7
"Trigonella alba (Medik.) Coulot & Rabaute",64.8,300,53,2.2
"Odontites vernus (Bellardi) Dumort. subsp. serotinus (Dumort.) Corb.",59.6,200,58.7,2.2
"Erigeron bonariensis L.",3.4,200,2.2,1.2
"Veronica peregrina L.",19.8,100,19.8,19.8
"Centaurea calcitrapa L.",99.9,300,98.9,2.2
"Primula vulgaris Huds. subsp. vulgaris",2.3,100,2.3,2.3
"Cytisus laniger DC.",2.3,100,2.3,2.3
"Isoetes histrix Bory",100,1600,72.8,7
"Atriplex halimus L.",34.6,100,34.6,34.6
"Fimbristylis dichotoma (L.) Vahl",24.9,100,24.9,24.9
"Cirsium monspessulanum (L.) Hill",2.2,100,2.2,2.2
"Daucus broteroi Ten.",2.2,100,2.2,2.2
"Schenkia spicata (L.) G.Mans.",33.6,300,30.6,2.2
"Glebionis coronaria (L.) Spach",2.2,100,2.2,2.2
"Ophrys tetraloniae W.P.Teschner",32.7,100,32.7,32.7
"Isolepis setacea (L.) R.Br.",52.2,200,50.5,3.5
"Malva nicaeensis All.",20.2,100,20.2,20.2
"Lathyrus clymenum L.",178.9,200,201.7,22.5
"Utricularia minor L.",72.5,100,72.5,72.5
"Medicago intertexta (L.) Mill.",105.8,300,106,2.2
"Pistacia terebinthus L. subsp. terebinthus",44.2,300,30.5,2.3
"Asplenium ceterach L. subsp. ceterach",2.3,100,2.3,2.3
"Trifolium vesiculosum Savi",1489.8,500,692,23
"Asplenium ruta-muraria L. subsp. ruta-muraria",23,100,23,23
"Ophioglossum vulgatum L. subsp. vulgatum",70.8,100,70.8,70.8
"Laburnum anagyroides Medik. subsp. anagyroides",2,100,2,2
"Isoetes gymnocarpa (Gennari) A.Braun",96.2,300,66.6,66.5
"Juniperus turbinata Guss.",68.1,300,31.7,31.7
"Tragus racemosus (L.) All.",74.6,300,64.5,7
"Solanum villosum Mill.",2.3,100,2.3,2.3
"Oxybasis chenopodioides (L.) S.Fuentes, Uotila & Borsch",58.3,300,56.4,2.3
"Vicia lutea L.",4.4,200,2.3,2.2
"Urtica urens L.",61,300,59.2,2.2
"Trifolium echinatum M.Bieb.",5.4,300,2.2,1.1
"Trifolium scabrum L. subsp. scabrum",26,200,23.2,3.7
"Medicago marina L.",29.1,300,23.2,2.6
"Galega officinalis L.",24.9,200,23.2,2.2
"Echium plantagineum L.",32.2,200,30.6,2.2
"Bupleurum subovatum Link ex Spreng.",2.2,100,2.2,2.2
"Tragopogon porrifolius L.",24.9,200,23.2,2.2
"Lamium purpureum L.",2.2,100,2.2,2.2
"Crepis foetida L. subsp. foetida",24.9,200,23.2,2.2
"Galactites tomentosus Moench",13.2,200,11.2,2.2
"Valerianella dentata (L.) Pollich",3.3,200,2.2,1.1
"Ononis spinosa L. subsp. spinosa",24.9,200,23.2,2.2
"Sonchus oleraceus L.",2.2,100,2.2,2.2
"Sonchus tenerrimus L.",39.9,200,22.5,22.5
"Petrosedum rupestre (L.) P.V.Heath",2.2,100,2.2,2.2
"Valerianella echinata (L.) DC.",2.2,100,2.2,2.2
"Picris hieracioides L. subsp. hieracioides",24.9,200,23.2,2.2
"Picnomon acarna (L.) Cass.",2.2,100,2.2,2.2
"Cynara cardunculus L. subsp. cardunculus",2.2,100,2.2,2.2
"Carduus nutans L. subsp. nutans",2.2,100,2.2,2.2
"Cirsium italicum DC.",94.2,200,88.9,47.8
"Orlaya platycarpos W.D.J.Koch",2.2,100,2.2,2.2
"Centranthus ruber (L.) DC. subsp. ruber",2.2,100,2.2,2.2
"Gladiolus italicus Mill.",2.2,100,2.2,2.2
"Torilis nodosa (L.) Gaertn. subsp. nodosa",2.2,100,2.2,2.2
"Rosa corymbifera Borkh.",69.2,100,69.2,69.2
"Rosa canina L.",2.2,100,2.2,2.2
"Conium maculatum L. subsp. maculatum",2.2,100,2.2,2.2
"Ammi majus L.",2.2,100,2.2,2.2
"Bifora testiculata (L.) Spreng.",2.2,100,2.2,2.2
