"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Teucrium chamaedrys L. subsp. chamaedrys",100,1000,85.7,2.2
"Asplenium onopteris L.",39,600,9.1,2.7
"Betonica officinalis L.",99.7,1400,85.7,2.2
"Luzula forsteri (Sm.) DC.",100,2000,85.7,8.4
"Ranunculus velutinus Ten.",103.8,700,712.7,81
"Clematis flammula L.",100,1000,85.7,6.8
"Linum usitatissimum L. subsp. angustifolium (Huds.) Thell.",41.4,400,17.1,1.7
"Convolvulus sepium L.",97.7,1000,908.5,22.5
"Orobanche minor Sm.",151.8,200,692,91.3
"Jacobaea erratica (Bertol.) Fourr.",56.3,400,35.9,2.2
"Erigeron canadensis L.",100,1600,91.3,2.2
"Oxalis corniculata L.",100,1400,857.3,22.5
"Sambucus nigra L.",89,500,84.7,7.3
"Poa annua L.",98.9,500,91.3,2.2
"Populus nigra L. subsp. nigra",89.1,500,85.7,2.2
"Persicaria lapathifolia (L.) Delarbre subsp. lapathifolia",100,1400,91.3,2.2
"Galium debile Desv.",5447.9,400,912.6,72.5
"Ficus carica L.",100,1100,85.7,2.2
"Equisetum arvense L.",92.2,1000,85.7,2.3
"Pulicaria dysenterica (L.) Bernh.",96.6,600,84.7,2.2
"Scutellaria galericulata L.",175.4,600,912.6,72.5
"Carex divulsa Stokes",56.4,900,18.3,1.8
"Veronica serpyllifolia L.",62.9,1100,18.3,0.4
"Myosotis sylvatica Hoffm. subsp. sylvatica",100,900,91.3,91.3
"Stellaria media (L.) Vill. subsp. media",54.4,1100,17.1,0.4
"Veronica officinalis L.",71.7,1300,17.1,1.8
"Carex pallescens L.",98.4,500,85.7,9.1
"Laurus nobilis L.",99.9,800,90.2,2.2
"Carex flacca Schreb. subsp. flacca",3.6,200,1.8,1.8
"Aristolochia rotunda L. subsp. rotunda",100,2000,91.3,37
"Hypericum montanum L.",49.2,500,17.1,1.8
"Rhamnus cathartica L.",99.8,600,91.1,9.1
