"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Trifolium pratense L. subsp. pratense",100,10,99.3,54
"Trifolium repens L.",100,10,98.7,44.6
"Trifolium resupinatum L.",100,10,98.7,34.3
"Trifolium scabrum L. subsp. scabrum",100,8,98.7,30
"Trifolium squamosum L.",100,10,98.7,35.8
"Trifolium subterraneum L. subsp. subterraneum",100,10,98.2,31.3
"Tripidium ravennae (L. H.Scholz subsp. ravennae",100,10,79.6,39.9
"Trisetaria panicea (Lam. Paunero",100,10,97.8,37
"Tuberaria guttata (L. Fourr.",100,10,97.8,85.7
"Typha angustifolia L.",100,10,98.7,97.8
"Typha latifolia L.",100,10,98.7,37.1
"Ulex europaeus L. subsp. europaeus",100,10,95.8,28.5
"Ulmus minor Mill. subsp. minor",100,10,99.6,97.6
"Urospermum dalechampii (L. Scop. ex F.W.Schmidt",100,10,98.7,28.8
"Urtica dioica L. subsp. dioica",100,10,98.7,91.1
"Urtica membranacea Poir. ex Savigny",100,10,98.5,35.8
"Verbascum sinuatum L.",100,10,98.7,39.9
"Verbena officinalis L.",100,10,98.7,66.7
"Veronica arvensis L.",100,10,97.8,45
"Veronica montana L.",100,10,91.5,39.9
"Veronica officinalis L.",100,10,96.7,91.3
"Veronica persica Poir.",100,10,98.7,47.9
"Veronica praecox All.",100,3,97.8,97.8
"Veronica scutellata L.",100,7,97.6,20.7
"Veronica serpyllifolia L.",100,10,95.8,39.9
"Viburnum tinus L. subsp. tinus",100,7,99.6,30
"Vicia pseudocracca Bertol.",100,10,97.8,35.5
"Vicia sativa L.",100,7,98.7,32.3
"Vincetoxicum hirundinaria Medik. subsp. hirundinaria",100,9,98.5,31.9
"Viola reichenbachiana Jord. ex Boreau",100,10,97.8,91.3
"Vitis vinifera L.",100,10,95.8,37.5
"Xanthium orientale L.",100,10,97.4,44.7
"Yucca gloriosa L.",100,10,71.8,37.4
"Allium vineale L.",99.9,4,97.6,40.1
"Ambrosia psilostachya DC.",99.9,10,71.9,24.4
"Aphanes arvensis L.",99.9,7,96.7,33.7
"Baccharis halimifolia L.",99.9,7,78,30.7
"Bidens frondosa L.",99.9,10,84.9,19.4
"Bituminaria bituminosa (L. C.H.Stirt.",99.9,6,98.7,29
"Bolboschoenus glaucus (Lam. S.G.Sm.",99.9,5,85.7,41.3
"Callitriche obtusangula Le Gall",99.9,9,96.7,20.6
"Carex acuta L.",99.9,2,97.4,97.4
"Carex leporina L.",99.9,4,97.4,40.1
"Catapodium balearicum (Willk. H.Scholz",99.9,10,73.9,34.8
"Cephalanthera rubra (L. Rich.",99.9,5,96.7,26.7
"Cistus creticus L. subsp. eriocephalus (Viv. Greuter & Burdet",99.9,10,73.9,36.2
"Crepis setosa Haller f.",99.9,4,98.5,31.3
"Cyperus flavescens L.",99.9,7,96.7,2.7
"Cyperus odoratus L.",99.9,2,97.8,94.9
"Dianthus balbisii Ser. subsp. balbisii",99.9,10,70.9,30.7
"Dioscorea communis (L. Caddick & Wilkin",99.9,6,96.7,27.9
"Ficaria verna Huds. subsp. verna",99.9,9,96.7,20.6
"Geranium rotundifolium L.",99.9,10,63.8,41.3
"Hedypnois rhagadioloides (L. F.W.Schmidt",99.9,8,97.8,30
"Hypericum mutilum L.",99.9,2,97.8,97.6
"Juncus hybridus Brot.",99.9,5,96.7,31.3
"Lathyrus pratensis L. subsp. pratensis",99.9,4,96.7,45.9
"Lathyrus sphaericus Retz.",99.9,7,97.8,28.8
"Linum maritimum L. subsp. maritimum",99.9,10,98,24.9
"Ludwigia palustris (L.lliott",99.9,6,96.7,20.7
"Lysimachia linum-stellatum L.",99.9,7,97.8,35.9
"Malus sylvestris (L. Mill.",99.9,8,90.8,27.6
"Malva punctata (All. Alef.",99.9,6,98.7,20.6
"Myosotis arvensis (L. Hill subsp. arvensis",99.9,8,96.7,31.3
"Najas major All.",99.9,7,85.6,22.8
"Oenothera biennis L.",99.9,10,73.9,24.3
"Oenothera chicaginensis de Vries ex Renner & Cleland",99.9,10,74.8,29.7
"Oxalis stricta L.",99.9,6,96.7,30
"Persicaria maculosa Gray",99.9,7,98.7,25.1
"Phillyrea latifolia L.",99.9,10,80,35
"Plantago arenaria Waldst. & Kit.",99.9,10,80.9,30
"Poa pratensis L. subsp. pratensis",99.9,5,97.4,30
"Ranunculus lanuginosus L.",99.9,5,98.5,29
"Raphanus raphanistrum L. subsp. raphanistrum",99.9,7,98.5,19.4
"Sagina apetala Ard. subsp. apetala",99.9,8,96.7,30
"Salvia verbenaca L.",99.9,8,96.7,30
"Seseli tortuosum L. subsp. tortuosum",99.9,10,75.7,29.6
"Silybum marianum (L. Gaertn.",99.9,8,98.7,21.6
"Sixalix atropurpurea (L. Greuter & Burdet",99.9,5,98.2,30
"Teucrium scorodonia L.",99.9,4,96.7,39.9
"Tragus racemosus (L. All.",99.9,5,98.7,30
"Trigonella alba (Medik. Coulot & Rabaute",99.9,7,98.7,24.6
"Verbena brasiliensis Vell.",99.9,3,99.8,31.2
"Veronica cymbalaria Bodard subsp. cymbalaria",99.9,10,80.5,32.1
"Vicia angustifolia L.",99.9,10,70.8,31.8
"Viola alba Besser subsp. dehnhardtii (Ten. W.Becker",99.9,3,97.8,30
"Agrostis gigantea Roth subsp. gigantea",99.8,5,85.7,2.7
"Amaranthus retroflexus L.",99.8,4,98.7,23
"Anthemis maritima L. subsp. maritima",99.8,8,84.6,23.9
"Beta vulgaris L. subsp. vulgaris",99.8,5,98.7,31.3
"Carex acutiformishrh.",99.8,4,94.6,59
"Carex flacca Schreb. subsp. serrulata (Biv. Greuter",99.8,6,98.5,31.3
"Cota tinctoria (L. J.Gay subsp. tinctoria",99.8,5,98.7,29.3
"Dittrichia graveolens (L. Greuter",99.8,3,98.9,42.6
"Echium vulgare L. subsp. vulgare",99.8,4,98.7,31.2
"Galium album Mill. subsp. album",99.8,3,98.5,63.8
"Isolepis cernua (Vahl Roem. & Schult.",99.8,7,96.7,26.7
"Pallenis spinosa (L. Cass. subsp. spinosa",99.8,4,98.7,29
"Parapholis incurva (L. C.E.Hubb.",99.8,9,68.6,2.7
"Pittosporum tobira (Thunb. W.T.Aiton",99.8,9,70.9,30
"Platanthera chlorantha (Custer Rchb.",99.8,8,84.3,26.7
"Polypogon viridis (Gouan Breistr. subsp. viridis",99.8,3,98.7,53.2
"Ranunculus bulbosus L.",99.8,7,96.7,30
"Silene niceensis All.",99.8,7,96.7,25.5
"Silene nocturna L. subsp. nocturna",99.8,5,98.5,23.9
"Solidago virgaurea L. subsp. litoralis (Savi Briq. & Cavill.",99.8,10,61.9,35.4
"Sonchus arvensis L. subsp. arvensis",99.8,4,98.7,42.6
"Stachys maritima Gouan",99.8,10,69.8,28.4
"Vinca major L. subsp. major",99.8,10,70.9,26.4
"Allium roseum L. subsp. roseum",99.7,7,87.6,30
"Alternanthera philoxeroides (Mart. Griseb.",99.7,5,97.8,40.9
"Centaurea aplolepa Moretti subsp. subciliata (DC. Arcang.",99.7,10,73.9,33.6
"Deschampsia cespitosa (L. P.Beauv. subsp. cespitosa",99.7,3,97.6,31.9
"Euphorbia nutans Lag.",99.7,3,98.9,40.3
"Galium rotundifolium L. subsp. rotundifolium",99.7,4,95.8,33.6
"Galium verum L. subsp. verum",99.7,9,70.9,26.7
"Glebionis segetum (L. Fourr.",99.7,3,98.7,49.9
"Jacobaea erratica (Bertol. Fourr.",99.7,7,91.3,20.6
"Juncus tenageia L.f. subsp. tenageia",99.7,5,97.8,37.5
"Lepidium draba L. subsp. draba",99.7,10,50.9,23.5
"Linum radiola L.",99.7,6,96.7,30
"Myagrum perfoliatum L.",99.7,5,98.7,20.6
"Peplis portula L.",99.7,7,96.7,2.3
"Ranunculus ophioglossifolius Vill.",99.7,6,96.7,31.3
"Salvia rosmarinus Spenn.",99.7,6,81.8,35.8
"Verbascum blattaria L.",99.7,6,96.7,29
"Amaranthus hybridus L. subsp. hybridus",99.6,3,98.9,30
"Brachypodium retusum (Pers. P.Beauv.",99.6,3,97.8,42.1
"Brachypodium rupestre (Host Roem. & Schult.",99.6,3,97.8,44.4
"Cardamine amporitana Sennen & Pau",99.6,5,96.7,31.9
"Chondrilla juncea L.",99.6,4,98.7,29.3
"Crocus biflorus Mill.",99.6,5,96.7,31.2
"Cuscuta cesattiana Bertol.",99.6,10,73.9,3.1
"Dryopteris dilatata (Hoffm. A.Gray",99.6,5,89.4,34.9
"Echium plantagineum L.",99.6,3,98.5,20.7
"Gladiolus italicus Mill.",99.6,1,99.6,99.6
"Glaucium flavum Crantz",99.6,9,64.8,33.1
"Phalaris paradoxa L.",99.6,4,98.5,35.5
"Pyrus communis L.",99.6,7,73.2,30
"Rhagadiolus stellatus (L. Gaertn.",99.6,3,97.8,45.1
"Veronica hederifolia L.",99.6,10,51.1,30
"Avellinia festucoides (Link Valdés & H.Scholz",99.5,2,97.6,79.6
"Bupleurum baldense Turra",99.5,2,99.3,29
"Carex viridula Michx.",99.5,5,97.6,24.9
"Galium murale (L. All.",99.5,7,85.7,35.8
"Hypericum montanum L.",99.5,7,91.3,30
"Hypochaeris achyrophorus L.",99.5,3,97.8,30
"Lactuca saligna L.",99.5,3,98.7,31.3
"Lonicera etrusca Santi",99.5,8,80.9,30
"Montia arvensis Wallr.",99.5,5,96.7,25.6
"Myosotis laxa Lehm. subsp. caespitosa (Schultz Hyl. exordh.",99.5,4,97.8,31.3
"Nassella neesiana (Trin. & Rupr. Barkworth",99.5,3,98.5,44.9
"Nasturtium officinale W.T.Aiton",99.5,5,98,22.4
"Parietaria judaica L.",99.5,7,74.8,30
"Parthenocissus quinquefolia (L. Planch.",99.5,8,70.9,25.8
"Roemeria sicula (Guss. Galasso, Banfi, L.Sáez & Bartolucci",99.5,2,98.5,70.9
"Rostraria litorea (All. Holub",99.5,8,69.6,25.9
"Sisymbrium officinale (L. Scop.",99.5,5,96.7,22.4
"Thinopyrum obtusiflorum (DC. Banfi subsp. obtusiflorum",99.5,2,98.5,68.9
"Cerastium brachypetalum Desp. ex Pers. subsp. brachypetalum",99.4,4,96.7,41.3
"Dasypyrum villosum (L. P.Candargy",99.4,9,70.9,25.6
"Isoëtes histrix Bory",99.4,10,68.8,33.9
"Juniperus communis L.",99.4,6,85.5,27.3
"Senecio inaequidens DC.",99.4,2,98.9,44
"Sparganium erectum L.",99.4,6,95,23
"Tordylium apulum L.",99.4,10,63.8,29.3
"Trifolium hybridum L. subsp. hybridum",99.4,2,98.7,54
"Alopecurus bulbosus Gouan subsp. bulbosus",99.3,3,97.4,2.2
"Arrhenatherum elatius (L. P.Beauv. ex J.Presl & C.Presl subsp. elatius",99.3,3,97.8,40.9
"Eryngium campestre L.",99.3,2,98.7,48.1
"Lilium bulbiferum L. subsp. croceum (Chaix Jan",99.3,6,91.3,31.9
"Polycarpon tetraphyllum (L. L. subsp. diphyllum (Cav. O.Bolòs & Font Quer",99.3,3,97.8,42.6
"Rubus saxatilis L.",99.3,4,75.7,63.8
"Thysselinum palustre (L. Hoffm.",99.3,10,82,18.3
"Tolpis umbellata Bertol.",99.3,1,99.3,99.3
"Trifolium angustifolium L. subsp. angustifolium",99.3,7,69.3,28.8
"Vitis ×koberi Ardenghi, Galasso, Banfi & Lastrucci",99.3,2,97.8,69.3
"Xanthium strumarium L. subsp. strumarium",99.3,4,98.7,2.3
"Aesculus hippocastanum L.",99.2,2,98.7,41.3
"Hordeum murinum L. subsp. murinum",99.2,3,97.6,30
"Juncus littoralis C.A.Mey.",99.2,8,70.9,35.9
"Lamium amplexicaule L.",99.2,10,48.1,30
"Lathyrus aphaca L. subsp. aphaca",99.2,7,70.9,30
"Silene otites (L. Wibel subsp. otites",99.2,7,75.7,25.5
"Verbascum thapsus L. subsp. thapsus",99.2,8,66.7,35.8
"Allium neapolitanum Cirillo",99.1,9,51.1,30.4
"Digitaria sanguinalis (L. Scop.",99.1,3,97.6,30
"Fumaria bastardii Boreau",99.1,2,98.5,43.7
"Glyceria maxima (Hartm. Holmb. subsp. maxima",99.1,2,98.5,44.2
"Imperata cylindrica (L. Raeusch.",99.1,8,75.7,25.7
"Lamium maculatum L.",99.1,3,97.8,20.6
"Lathyrus cicera L.",99.1,3,97.8,30
"Nymphaea alba L.",99.1,8,74.8,20.6
"Ranunculus velutinus Ten.",99.1,5,91.3,36.7
"Rumex acetosa L. subsp. acetosa",99.1,2,98.7,29.3
"Schoenoplectus litoralis (Schrad. Palla",99.1,2,97.4,67.3
"Senecio sylvaticus L.",99.1,4,95.8,30.5
"Atropa bella-donna L.",99,2,98.2,44.4
"Bryonia dioica Jacq.",99,2,98.5,36.4
"Juncus tenuis Willd.",99,4,96.7,26.7
"Rumex hydrolapathum Huds.",99,4,82,22.4
"Sporobolus virginicus (L. Kunth",99,7,84.6,25.7
"Bidens vulgata Greene",98.9,1,98.9,98.9
"Dysphania pumilio (R.Br. Mosyakin & Clemants",98.9,1,98.9,98.9
"Rosa canina L.",98.9,2,98.5,30
"Torilis japonica (Houtt. DC.",98.9,2,98.5,31.3
"Tradescantia fluminensis Vell.",98.9,8,74.8,28.6
"Trifolium medium L. subsp. medium",98.9,2,98.5,31.3
"Anogramma leptophylla (L. Link",98.8,2,98.5,21
"Athyrium filix-femina (L. Roth",98.8,4,85.7,30
"Corynephorus articulatus (Desf. P.Beauv.",98.8,4,85.7,31.9
"Diplotaxis muralis (L. DC.",98.8,3,96.7,31.3
"Veronica chamaedrys L. subsp. chamaedrys",98.8,3,96.7,30.9
"Calluna vulgaris (L. Hull",98.7,6,85.7,26.7
"Cyperus glomeratus L.",98.7,1,98.7,98.7
"Erodium malacoides (L. L'Hér. subsp. malacoides",98.7,6,69.3,32.3
"Ervilia hirsuta (L. Opiz",98.7,8,66.7,30
"Glebionis coronaria (L. Spach",98.7,1,98.7,98.7
"Lathyrus latifolius L.",98.7,1,98.7,98.7
"Ligustrum lucidum Aiton",98.7,4,75.3,30.9
"Phalaris aquatica L.",98.7,1,98.7,98.7
"Saxifraga tridactylites L.",98.7,9,45.3,30
"Soda inermis Fourr.",98.7,6,63.5,25.5
"Verbascum pulverulentum Vill.",98.7,2,98.7,2.2
"Veronica agrestis L.",98.7,1,98.7,98.7
"Crepis suffreniana (DC. Steud.",98.6,9,44.4,30
"Utricularia vulgaris L.",98.6,7,90.4,22.8
"Carthamus lanatus L.",98.5,2,97.6,36.2
"Linaria pelisseriana (L. Mill.",98.5,1,98.5,98.5
"Phalaris truncata Guss. ex Bertol.",98.5,1,98.5,98.5
"Stuckenia pectinata (L. Börner",98.5,9,67.2,20.6
"Trifolium rubens L.",98.5,1,98.5,98.5
"Vicia lutea L.",98.5,1,98.5,98.5
"Vicia macrocarpa (Moris Bertol.",98.5,1,98.5,98.5
"Vitis ×instabilis Ardenghi, Galasso, Banfi & Lastrucci",98.5,4,74.8,45.8
"Leucanthemum pallens (Perreym. DC.",98.4,2,91.4,80.9
"Osyris alba L.",98.4,5,90.1,30
"Achnatherum bromoides (L. P.Beauv.",98.3,2,97.6,29
"Agrostis castellana Boiss. & Reut.",98.3,2,97.6,31.3
"Allium triquetrum L.",98.3,8,48.1,30.4
"Galium debile Desv.",98.3,5,75.5,38.2
"Micromeria graeca (L. Benth. ex Rchb. subsp. graeca",98.3,5,85.3,29.3
"Clinopodium grandiflorum (L. Stace",98.2,2,96.7,45.9
"Crassula tillaea Lest.-Garl.",98.2,8,50.5,31.9
"Cyperus michelianus (L. Delile",98.2,2,96.7,45.9
"Erodium acaule (L. Bech. & Thell.",98.2,2,96.7,45.9
"Iris florentina L.",98.2,1,98.2,98.2
"Juncus heterophyllus Dufour",98.2,2,96.7,44.4
"Kickxia spuria (L. Dumort. subsp. integrifolia (Brot. R.Fern.",98.2,1,98.2,98.2
"Ophrys classica Devillers-Tersch. & Devillers",98.2,7,64.4,31.3
"Persicaria amphibia (L. Delarbre",98.2,2,97.8,20.6
"Ruta chalepensis L.",98.2,1,98.2,98.2
"Myosotis sicula Guss.",98.1,3,96.7,2.4
"Ballota nigra L. subsp. nigra",98,5,80.9,19
"Cladanthus mixtus (L. Chevall.",98,7,66.7,20.7
"Malva arborea (L. Webb & Berthel.",98,7,55,22.6
"Parapholis cylindrica (Willd. Romero Zarco",97.9,5,70.9,24.4
"Smyrnium olusatrum L.",97.9,7,51.1,21.6
"Aira multiculmis Dumort.",97.8,1,97.8,97.8
"Brachypodium retusum (Pers. P.Beauv. × B. rupestre (Host Roem. & Schult.",97.8,1,97.8,97.8
"Delphinium consolida L. subsp. consolida",97.8,1,97.8,97.8
"Helianthemum salicifolium (L. Mill.",97.8,1,97.8,97.8
"Milium vernale M.Bieb. subsp. vernale",97.8,1,97.8,97.8
"Oxybasis urbica (L. S.Fuentes, Uotila & Borsch",97.8,1,97.8,97.8
"Potamogeton lucens L.",97.8,10,41.3,23
"Baldellia ranunculoides (L. Parl.",97.7,10,44.4,24.1
"Cruciata laevipes Opiz",97.7,2,96.7,31.3
"Trifolium squarrosum L.",97.7,4,70.9,41.3
"Veronica peregrina L.",97.7,2,95.8,45.4
"Daucus pumilus (L. Hoffmanns. & Link",97.6,9,54.5,25.6
"Epilobium tetragonum L. subsp. tetragonum",97.6,7,66.7,21.9
"Thalictrum flavum L.",97.6,7,66.3,25.7
"Angelica sylvestris L. subsp. sylvestris",97.5,8,44.4,26.7
"Lamium bifidum Cirillo subsp. bifidum",97.5,5,80.9,31.9
"Trifolium lappaceum L.",97.5,7,59.8,30
"Acer negundo L.",97.4,7,48.9,30
"Juncus subulatus Forssk.",97.4,1,97.4,97.4
"Muscari comosum (L. Mill.",97.2,7,51.1,31.3
"Utricularia australis R.Br.",97.2,5,69.4,26.8
"Mentha spicata L.",97.1,3,82,48.9
"Silene conica L.",97.1,5,68.9,24.5
"Anacamptis laxiflora (Lam. R.M.Bateman, Pridgeon & M.W.Chase",97,8,41.3,26.4
"Persicaria mitis (Schrank Assenov",97,8,44.4,19.9
"Onobrychis caput-galli (L. Lam.",96.9,6,60.1,26.2
"Ononis reclinata L.",96.9,6,63.2,29.1
"Populus tremula L.",96.9,5,84.3,23
"Rosa agrestis Savi",96.9,4,85.3,37.5
"Scrophularia canina L.",96.9,4,80.9,29.3
"Cephalanthera longifolia (L. Fritsch",96.8,9,41.3,20.1
"Chelidonium majus L.",96.8,6,51.1,30
"Hordeum bulbosum L.",96.7,3,85.7,41.3
"Umbilicus rupestris (Salisb. Dandy",96.7,2,94.6,39.9
"Verbascum nigrum L.",96.7,1,96.7,96.7
"Triglochin barrelieri Loisel.",96.5,4,67.9,30.9
"Serapias neglecta Deot.",96.4,7,64.4,21.7
"Colchicum lusitanum Brot.",96.3,7,41.3,32.7
"Diplotaxis tenuifolia (L. DC.",96.3,5,68.9,25.5
"Polystichum setiferum (Forssk. T.Moore ex Woyn.",96.3,4,85.7,30.9
"Potamogeton natans L.",96.3,7,67.2,20.6
"Ranunculus baudotii Godr.",96.3,3,92.1,31
"Celtis australis L. subsp. australis",96.1,2,93.2,42.1
"Olea europaea L.",96.1,6,63.8,29.3
"Ononis spinosa L. subsp. spinosa",96.1,6,54.5,30
"Tamarix africana Poir.",96,4,82,29.6
"Lonicera implexa Aiton subsp. implexa",95.9,5,80.9,16.8
"Rhaphiolepis bibas (Lour. Galasso & Banfi",95.9,3,71.6,49.5
"Salix purpurea L. subsp. purpurea",95.9,4,69.3,30
"Scolymus hispanicus L. subsp. hispanicus",95.9,6,63.8,30
"Alkekengi officinarum Moench",95.8,5,80.9,20.7
"Alopecurus aequalis Sobol.",95.8,1,95.8,95.8
"Arenaria serpyllifolia L. subsp. serpyllifolia",95.8,7,42.1,23.9
"Carlina corymbosa L.",95.8,6,63.8,24.4
"Rubus caesius L.",95.8,6,44.4,30
"Tussilago farfara L.",95.8,3,82,30
"Centaurea nigrescens Willd. subsp. nigrescens",95.7,6,70.8,19.4
"Ornithogalum divergens Boreau",95.7,2,93.2,36.2
"Pilosella piloselloides (Vill. Soják subsp. piloselloides",95.7,8,40.9,25.5
"Monotropa hypopitys L.",95.6,7,41.3,29.6
"Muscari neglectum Guss. ex Ten. & Sangiovanni",95.6,6,49.5,31.3
"Sedum cepaea L.",95.5,5,69.3,29.3
"Fumaria officinalis L. subsp. officinalis",95.3,6,54.5,20.6
"Lycopus exaltatus L.f.",95.3,4,82,24.4
"Colchicum neapolitanum (Ten. Ten. subsp. neapolitanum",95.2,6,43.3,35.3
"Blackstonia acuminata (W.D.J.Koch & Ziz Domin subsp. acuminata",95.1,4,68.9,30
"Crepis leontodontoides All.",95.1,6,44.4,30
"Leontodon rosanoi (Ten. DC.",95.1,4,64.1,39.9
"Phelipanche purpurea (Jacq. Soják",95.1,5,71.5,27.8
"Anacamptis morio (L. R.M.Bateman, Pridgeon & M.W.Chase",95,6,45.3,31.3
"Cuscuta epithymum (L. L. subsp. epithymum",95,3,85.7,39.9
"Cyperus rotundus L.",95,5,66.7,26.7
"Setaria pumila (Poir. Roem. & Schult. subsp. pumila",95,6,66.7,2.7
"Spergularia rubra (L. J.Presl & C.Presl",94.9,5,70.9,30.8
"Narcissus poëticus L.",94.8,6,42.7,31.9
"Scutellaria columnae All. subsp. columnae",94.8,4,80.9,31.3
"Hydrocharis morsus-ranae L.",94.6,9,41.3,19.4
"Scrophularia auriculata L. subsp. auriculata",94.6,4,80.9,22.8
"Elaeagnus angustifolia L.",94.5,5,54.5,30.9
"Ervum tetraspermum L.",94.3,6,70.9,20.4
"Schenkia spicata (L. G.Mans.",94.3,5,68.6,20.7
"Arisarum vulgare O.Targ.Tozz. subsp. vulgare",94.2,1,94.2,94.2
"Ceratophyllum demersum L.",94.2,8,40.2,19.4
"Amaranthus blitum L. subsp. blitum",93.9,2,88.8,45.8
"Trifolium michelianum Savi",93.9,5,69.2,25.7
"Salicornia perennis Mill. subsp. perennis",93.8,4,68.9,31.5
"Anthriscus caucalis M.Bieb.",93.7,6,44.4,21.6
"Lotus hispidus DC.",93.7,5,66.7,25.6
"Trigonella smallii Coulot & Rabaute",93.7,3,70.9,30
"Juncus acutiflorushrh. ex Hoffm.",93.4,2,90.4,31.3
"Orobanche hederae Vaucher ex Duby",93.4,2,89,39.9
"Stachys romana (L..H.L.Krause",93.4,5,61.8,30
"Symphytum bohemicum F.W.Schmidt",93.4,7,36.1,22.4
"Mentha suaveolenshrh. subsp. suaveolens",93.3,5,66.7,24.3
"Emerus major Mill. subsp. major",93.2,7,45.8,26.7
"Polygonum arenastrum Boreau",93.2,1,93.2,93.2
"Drosera rotundifolia L.",93,2,90.4,26.9
"Euonymus japonicus Thunb.",93,3,70.9,47.9
"Myosotis discolor Pers. subsp. discolor",93,7,41.3,2.4
"Asparagus officinalis L. subsp. officinalis",92.9,5,69.3,23.8
"Lomelosia rutifolia (Vahl Avino & P.Caputo",92.9,5,73.9,23.7
"Quercus petraea (Matt. Liebl. subsp. petraea",92.9,5,42.7,39.9
"Cirsium palustre (L. Scop.",92.8,2,90.4,24.9
"Draba verna L. subsp. verna",92.8,3,70.3,30
"Cistus monspeliensis L.",92.6,3,81.8,35.9
"Ranunculus muricatus L.",92.1,3,68.9,45
"Potentilla anglica Laichard.",92,4,85.7,2.2
"Phalaris brachystachys Link",91.9,4,68.9,35.8
"Festuca ligustica (All. Bertol.",91.8,3,68.9,35.8
"Limodorum abortivum (L. Sw.",91.7,6,41.3,26.1
"Anacamptis coriophora (L. R.M.Bateman, Pridgeon & M.W.Chase",91.6,6,41.3,20.3
"Eleocharis multicaulis (Sm. Desv.",91.6,2,85.7,41.2
"Poa angustifolia L.",91.6,2,85.7,41.3
"Catapodium rigidum (L. C.E.Hubb. subsp. majus (C.Presl F.H.Perring & P.D.Sell",91.5,2,70.9,70.9
"Parentucellia latifolia (L. Caruel",91.5,5,45.3,31.9
"Trifolium leucanthum M.Bieb.",91.5,2,70.9,70.9
"Kickxia commutata (Bernh. ex Rchb. Fritsch subsp. commutata",91.4,6,41.3,2.4
"Mercurialis annua L.",91.4,3,78.5,36.2
"Aethusa cynapium L. subsp. cynapium",91.3,1,91.3,91.3
"Astragalus sesameus L.",91.3,1,91.3,91.3
"Schoenoplectus pungens (Vahl Palla",91,5,70.9,20.6
"Molinia caerulea (L. Moench",90.7,5,42.6,19.4
"Fumana procumbens (Dunal Gren. & Godr.",90.6,4,73.9,27.8
"Butomus umbellatus L.",90.5,6,44.1,21.6
"Vicia dasycarpa Ten.",90.4,6,40.1,19.4
"Paspalum vaginatum Sw.",90.2,3,79.4,30
"Dysphania ambrosioides (L. Mosyakin & Clemants",90.1,5,50.7,20.6
"Brachypodium distachyon (L. P.Beauv.",90,2,85.7,30
"Poterium sanguisorba L. subsp. sanguisorba",90,5,47.9,30
"Lathyrus sylvestris L. subsp. sylvestris",89.9,4,69.3,30
"Trigonella sulcata (Desf. Coulot & Rabaute",89.8,5,68.9,2.2
"Trifolium patens Schreb.",89.7,5,41.3,26.7
"Artemisia vulgaris L.",89.6,3,70.9,30
"Neotinea maculata (Desf. Stearn",89.5,5,41.3,29
"Sporobolus schoenoides (L. P.M.Peterson",89.5,6,36.7,21.9
"Legousia speculum-veneris (L. Chaix",89.2,4,63.8,20.6
"Sedum sexangulare L.",89.1,5,44.4,26.4
"Potamogeton coloratus Hornem.",88.9,4,67.2,27.6
"Lolium giganteum (L. Darbysh.",88.8,2,80.9,41.3
"Lysimachia arvensis (L. U.Manns & Anderb.",88.5,3,66.7,39.5
"Cephalaria transsylvanica (L. Roem. & Schult.",88.4,3,69.3,35.4
"Elodea canadensis Michx.",88.3,7,37.6,19.2
"Nelumbo nucifera Gaertn.",88.2,4,52.9,21.2
"Cenchrus longispinus (Hack. Fernald",88.1,4,64.7,28.8
"Sisymbrium polyceratium L.",88,3,64.1,39.9
"Digitaria debilis (Desf. Willd.",87.9,6,44.4,19.4
"Vicia hybrida L.",87.8,5,57.9,20.6
"Orobanche artemisiae-campestris Gaudin",87.7,2,68.9,60.4
"Pentanema squarrosum (L. D.Gut.Larr., Santos-Vicente, Anderb.,.Rico & M.M.Mart.Ort.",87.6,4,44.4,36.7
"Aegopodium podagraria L.",87.5,3,62.2,42.2
"Bulbostylis cioniana (Pi.Savi Lye",87.5,3,69.2,31
"Campsis radicans (L. Bureau",87.4,2,82,30
"Erodium botrys (Cav. Bertol.",87.4,4,50.2,31.9
"Draba verna L. subsp. praecox (Steven Rouy & Foucaud",87.2,4,50.7,33.7
"Dysphania botrys (L. Mosyakin & Clemants",87.2,3,60,42.6
"Fumaria capreolata L. subsp. capreolata",87.1,3,70.8,30
"Salvia clandestina L.",87.1,4,49.5,31.2
"Trigonella wojciechowskii Coulot & Rabaute",87.1,5,41.3,25.1
"Agrostis stolonifera L. subsp. maritima (Lam. Vasc.",87,4,46.5,31.9
"Crepis bellidifolia Loisel.",87,3,68.9,24.6
"Maclura pomifera (Raf. C.K.Schneid.",86.9,1,86.9,86.9
"Orobanche crenata Forssk.",86.6,2,70.9,54
"Cyperus capitatus Vand.",86.5,3,73.9,25.9
"Senecio lividus L.",86.5,4,44.2,35.8
"Anthemis arvensis L. subsp. arvensis",86.2,4,54,21.6
"Arabidopsis thaliana (L. Heynh.",85.9,4,45.1,20.6
"Asplenium trichomanes L. subsp. quadrivalens D.E.Mey.",85.7,1,85.7,85.7
"Erigeron acris L. subsp. acris",85.6,6,35.7,21
"Portulaca oleracea L.",85.5,3,63.8,30
"Prunus laurocerasus L.",85.5,1,85.5,85.5
"Trifolium dubium Sibth.",85.3,4,66.7,2.2
"Veronica anagallis-aquatica L. subsp. anagallis-aquatica",85.3,5,41.3,22.4
"Rubus sulcatus Vest",85.2,4,39.9,32.1
"Sagina procumbens L. subsp. procumbens",85.1,3,59.7,35.4
"Acacia dealbata Link",85,3,69.3,29.3
