"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Circaea lutetiana L. subsp. lutetiana",100,10,91.5,35.5
"Cirsium arvense (L. Scop.",100,10,98.7,43.6
"Cirsium creticum (Lam. d'Urv. subsp. triumfettii (Lacaita K.Werner",100,10,98.7,83.4
"Cirsium vulgare (Savi Ten.",100,10,97.6,32.1
"Cistus salviifolius L.",100,10,98.2,95.8
"Cladium mariscus (L. Pohl",100,10,98,91.1
"Clematis flammula L.",100,10,98.7,70.9
"Clematis vitalba L.",100,10,98.7,66.7
"Clinopodium nepeta (L. Kuntze subsp. nepeta",100,10,98.7,49.3
"Clinopodium vulgare L. subsp. vulgare",100,7,98.5,30
"Coleostephus myconis (L. Cass. ex Rchb.f.",100,10,98.7,29.3
"Convolvulus arvensis L.",100,10,98.7,68.9
"Convolvulus sepium L.",100,10,98.7,97.8
"Convolvulus soldanella L.",100,10,73.9,54
"Cornus sanguinea L. subsp. hungarica (Kárpáti Soó",100,10,98.5,70.8
"Cortaderia selloana (Schult. & Schult.f. Asch. & Graebn.",100,9,97.8,26.7
"Corynephorus divaricatus (Pourr. Breistr.",100,5,97.8,30
"Cotula sessilis (Ruiz & Pav. Stace",100,2,97.8,97.8
"Crataegus monogyna Jacq.",100,10,98.5,97.6
"Crepis sancta (L. Bornm. subsp. nemausensis (P.Fourn. Babc.",100,10,97.8,41.3
"Crepis vesicaria L.",100,10,98.7,38
"Crithmum maritimum L.",100,10,70.9,30
"Cruciata glabra (L. C.Bauhin ex Opiz",100,6,95.8,39.9
"Cuscuta campestris Yunck.",100,8,98.7,29.3
"Cyclamen hederifolium Aiton subsp. hederifolium",100,10,97.6,35.7
"Cyclamen repandum Sm. subsp. repandum",100,10,97.8,82.7
"Cynodon dactylon (L. Pers.",100,10,98.7,97.4
"Cynosurus echinatus L.",100,8,98.5,30
"Cyperus longus L.",100,10,98.7,46.5
"Cytinus hypocistis (L. L. subsp. hypocistis",100,5,96.7,27.9
"Dactylis glomerata L. subsp. glomerata",100,10,98.7,63.8
"Dactylis glomerata L. subsp. hispanica (Rothyman",100,7,98.5,39.9
"Danthonia decumbens (L. DC. subsp. decumbens",100,5,97.8,30
"Daphne gnidium L.",100,10,98.2,41.3
"Datura stramonium L.",100,7,98.7,31.2
"Daucus carota L. subsp. carota",100,10,98.7,68.9
"Dichondra micrantha Urb.",100,3,98.5,32.1
"Diospyros lotus L.",100,2,98.5,98.5
"Dipsacus fullonum L.",100,10,98.7,49.7
"Dittrichia viscosa (L. Greuter subsp. viscosa",100,10,98.7,84
"Dryopteris filix-mas (L. Schott",100,7,91.3,37.9
"Echinochloa crus-galli (L. P.Beauv. subsp. crus-galli",100,10,98.7,23
"Echinophora spinosa L.",100,10,75.7,39.9
"Eleocharis caduca (Delile Schult.",100,10,97.8,97.8
"Eleocharis palustris (L. Roem. & Schult. subsp. palustris",100,6,97.8,44.4
"Elymus repens (L. Gould subsp. repens",100,10,80.9,39.9
"Epilobium hirsutum L.",100,5,98.7,49.3
"Epipactis palustris (L. Crantz",100,10,70.9,41.3
"Equisetum arvense L.",100,10,97.4,64.4
"Equisetum palustre L.",100,8,98.7,32.6
"Equisetum ramosissimum Desf. subsp. ramosissimum",100,10,77.9,39.9
"Equisetum telmateiahrh.",100,10,98.7,43.2
"Erica arborea L.",100,10,98.2,95.8
"Erica scoparia L. subsp. scoparia",100,10,95.8,44.4
